flavor,calcium_dv,sugars,iron_dv,updated_at,full_ingredient,vitamin_a_dv,saturated_fat,protein,trans_fatty_acid,item_description,total_carbohydrate,sodium,item_name,ingredient_statement,serving_size_qty,dietary_fiber,main-ingredient,item_id,calories_from_fat,monounsaturated_fat,ingredients_list,serving_weight_grams,calories,polyunsaturated_fat,calperunitserving,vitamin_c_dv,total_fat,cholesterol,servings_per_container,serving_size_unit
Berries,0,27,0,2014-11-24 20:24:24,appl juic,0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,appl juic,51c36c9f97c3e69de4b083da,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",217,120,0,15.0,120,0,0,6,fl oz
Berries,0,27,0,2014-11-24 20:24:24,pear juic,0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,pear juic,51c36c9f97c3e69de4b083da,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",217,120,0,15.0,120,0,0,6,fl oz
Berries,0,27,0,2014-11-24 20:24:24,grape juic,0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,grape juic,51c36c9f97c3e69de4b083da,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",217,120,0,15.0,120,0,0,6,fl oz
Berries,0,27,0,2014-11-24 20:24:24,raspberri juic ( water juic concentr ),0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,raspberri juic,51c36c9f97c3e69de4b083da,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",217,120,0,15.0,120,0,0,6,fl oz
Berries,0,27,0,2014-11-24 20:24:24,natur flavor,0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,natur flavor,51c36c9f97c3e69de4b083da,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",217,120,0,15.0,120,0,0,6,fl oz
Berries,0,27,0,2014-11-24 20:24:24,ascorb acid (vitamin c),0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,ascorb acid,51c36c9f97c3e69de4b083da,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",217,120,0,15.0,120,0,0,6,fl oz
Berries,0,27,0,2014-11-24 20:24:24,citric acid,0,0,0,0,Berry,29,20,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,citric acid,51c36c9f97c3e69de4b083da,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",217,120,0,15.0,120,0,0,6,fl oz
Berries,0,14,0,2014-11-24 20:24:24,appl juic,0,0,0,0,Berry,15,10,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,appl juic,51c36ca597c3e69de4b0840b,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",,60,0,60.0,100,0,0,8,box
Berries,0,14,0,2014-11-24 20:24:24,pear juic,0,0,0,0,Berry,15,10,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,pear juic,51c36ca597c3e69de4b0840b,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",,60,0,60.0,100,0,0,8,box
Berries,0,14,0,2014-11-24 20:24:24,grape juic,0,0,0,0,Berry,15,10,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,grape juic,51c36ca597c3e69de4b0840b,0,0,"[u'appl juic', u'pear juic', u'grape juic', u'raspberri juic ( water juic concentr )', u'natur flavor', u'ascorb acid (vitamin c)', u'citric acid']",,60,0,60.0,100,0,0,8,box
