item_id,item_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten
51c36c9f97c3e69de4b083da,"100% Juice, Berry",Berry,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36ca597c3e69de4b0840b,"100% Juice, Berry",Berry,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,60,0,0,,0,,,,10,15,,14,0,0,100,0,0,,8,1,box,,,,,,,,,,
51c36cba97c3e69de4b084a7,"100% Juice, Berry",Berry,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,150,0,0,,,,,,25,35,,34,0,0,100,0,0,,1,1,bottle,,,,,,,,,,
51c36cbb97c3e69de4b084b9,"Juicy Juice, Orange Tangerine","Flavored, Orange Tangerine",2014-11-24T20:24:24.000Z,"Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Orange Juice from Concentrate (Water, Juice Concentrate), Tangerine Juice from Concentrate (Water, Juice Concentrate) and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,130,0,0,,,,,,25,32,,31,0,,120,,,,8,8,fl oz,226,,,,,,,,,
51c36cc397c3e69de4b084ff,"100% Juice, Mango",Mango,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, and Mango Puree (Water, Juice and Puree Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36cc597c3e69de4b08509,"Premium 100% Juice, White Grape",White Grape,2014-11-24T20:24:24.000Z,"White Grpae Juice and Apple Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid (Vitamin C).",,150,0,0,,,,,,25,35,,34,0,0,120,0,2,,6,8,fl oz,217,,,,,,,,,
51c36cc797c3e69de4b08524,"100% Juice, Apple Grape",Apple Grape,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, and Grape Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Malic Acid.",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36cc897c3e69de4b0852a,"Juice, Apple",Apple,2014-11-24T20:24:24.000Z,"Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",,60,0,0,0,,,,0,20,15,0,13,0,0,100,0,0,,,1,box,,,,,,,,,,
51c36ccc97c3e69de4b0855b,"Juice Beverage, Sparkling Berry",Sparkling Berry,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Water, and Less than 0.5% Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C), Carbonation Added. Gluten free.",,90,0,0,,,,,,10,21,,20,0,0,20,0,0,,4,1,can,,,,,,,,,,
51c36cd097c3e69de4b08581,"Fruit Juice Beverage, Brain Development, Grape","Brain Development, Grape",2014-11-24T20:24:24.000Z,"Apple Juice, and Grape Juice (Water, Juice Concentrates), Water, and Less than 0.5% of Natural Flavors, Pectin, Ascorbic Acid (Vitamin C), Fish Oil (Tuna) [a Source of Omega-3], Citric Acid, Gellan Gum.",,45,0,0,,0,,,,10,10,0,10,0,0,100,0,0,,8,4,fl oz,120,,,,,,,,,
51c36cd697c3e69de4b085b8,"100% Juice, Apple Grape",Apple Grape,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, and Grape Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Malic Acid.",,120,0,0,,,,,,20,29,,,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36cd797c3e69de4b085b9,"Juice Boxes, Strawberry Banana",Strawberry Banana,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",,100,0,0,,,,,,15,24,,23,0,0,100,0,0,,10,10,ea,,,,,,,,,,
51c36cd797c3e69de4b085c1,"100% Juice, Tropical",Tropical,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, Pineapple Juice, and Mango Puree (Water, Juice and Puree Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36cda97c3e69de4b085e4,"100% Juice, Tropical",Tropical,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, Pineapple Juice, and Mango Puree (Water, Juice and Puree Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,6,8,fl oz,217,,,,,,,,,
51c36cdb97c3e69de4b085e9,"Juice, Watermelon",Watermelon,2014-11-24T20:24:24.000Z,"Apple Juice, Pear Juice, Grape Juice, and Watermelon Juice (Water, Juice Concentrate), Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C).",,120,0,0,,,,,,20,29,,27,0,0,120,0,0,,8,8,fl oz,226,,,,,,,,,
